PORTFOLIO_CODE,PORTFOLIO_NAME,PERIOD_ID,CALENDAR_MONTH,FROM_DATE,THRU_DATE,PERIOD_TYPE,PERIOD_SEQ_IN_MONTH,PERIODS_IN_MONTH,SECURITY_ID,TICKER,SECURITY_NAME,BEGIN_WEIGHT,BEGIN_MV,END_MV,SEC_RETURN,CONTRIBUTION_W_X_R,INDUSTRY_CODE,SECTOR_CODE,COUNTRY_CODE,ASSET_CLASS_CODE,CURRENCY_CODE,USER_CLASS_1_CODE,USER_CLASS_2_CODE,USER_CLASS_3_CODE
PORT_LARGE,Large Demo Portfolio,P001,2024-01,2024-01-01,2024-01-31,MONTHLY,1,1,L001,L001,Synthetic Security L001,0.0108812952,359529.50,353696.25,-0.0162246992,-0.0001765457,RETL,CONS,CH,EQ,CHF,GRW,INT,A
PORT_LARGE,Large Demo Portfolio,P001,2024-01,2024-01-01,2024-01-31,MONTHLY,1,1,L002,L002,Synthetic Security L002,0.0035840446,118420.62,118310.85,-0.0009269884,-0.0000033224,AUTO,CONS,US,EQ,USD,INC,EXT,B
PORT_LARGE,Large Demo Portfolio,P001,2024-01,2024-01-01,2024-01-31,MONTHLY,1,1,L003,L003,Synthetic Security L003,0.0042539631,140555.44,140739.25,0.0013077760,0.0000055632,MACH,INDU,CA,EQ,CAD,CORE,IDX,C
PORT_LARGE,Large Demo Portfolio,P001,2024-01,2024-01-01,2024-01-31,MONTHLY,1,1,L004,L004,Synthetic Security L004,0.0032689169,108008.47,100526.50,-0.0692720893,-0.0002264447,TRAN,INDU,GB,EQ,GBP,VAL,INT,A
PORT_LARGE,Large Demo Portfolio,P001,2024-01,2024-01-01,2024-01-31,MONTHLY,1,1,L005,L005,Synthetic Security L005,0.0125582034,414936.32,393852.72,-0.0508116553,-0.0006381031,OILG,ENER,JP,EQ,JPY,GRW,EXT,B
PORT_LARGE,Large Demo Portfolio,P001,2024-01,2024-01-01,2024-01-31,MONTHLY,1,1,L006,L006,Synthetic Security L006,0.0033006816,109058.01,118662.15,0.0880644989,0.0002906729,POWR,UTIL,DE,EQ,EUR,INC,IDX,C
PORT_LARGE,Large Demo Portfolio,P001,2024-01,2024-01-01,2024-01-31,MONTHLY,1,1,L007,L007,Synthetic Security L007,0.0124143323,410182.67,436949.74,0.0652564637,0.0008101154,SOFT,TECH,FR,EQ,EUR,CORE,INT,A
PORT_LARGE,Large Demo Portfolio,P001,2024-01,2024-01-01,2024-01-31,MONTHLY,1,1,L008,L008,Synthetic Security L008,0.0104343491,344761.93,340243.71,-0.0131053321,-0.0001367456,SEMI,TECH,CH,EQ,CHF,VAL,EXT,B
PORT_LARGE,Large Demo Portfolio,P001,2024-01,2024-01-01,2024-01-31,MONTHLY,1,1,L009,L009,Synthetic Security L009,0.0148410189,490362.96,502248.29,0.0242378080,0.0003597138,PHAR,HLTH,US,EQ,USD,GRW,IDX,C
PORT_LARGE,Large Demo Portfolio,P001,2024-01,2024-01-01,2024-01-31,MONTHLY,1,1,L010,L010,Synthetic Security L010,0.0158516810,523756.31,495287.38,-0.0543552991,-0.0008616229,MEDD,HLTH,CA,EQ,CAD,INC,INT,A
