SEC,PRICE_DATE,PRICE,CURRENCY,SOURCE
AAPL,2025-05-01,254.0959,USD,SYNTH
AAPL,2025-05-02,251.3963,USD,SYNTH
AAPL,2025-05-05,247.3276,USD,SYNTH
AAPL,2025-05-06,251.3017,USD,SYNTH
AAPL,2025-05-07,254.3819,USD,SYNTH
AAPL,2025-05-08,248.8762,USD,SYNTH
AAPL,2025-05-09,252.7468,USD,SYNTH
AAPL,2025-05-12,248.2632,USD,SYNTH
AAPL,2025-05-13,247.9523,USD,SYNTH
AAPL,2025-05-14,246.7149,USD,SYNTH
AAPL,2025-05-15,247.2971,USD,SYNTH
AAPL,2025-05-16,251.0153,USD,SYNTH
AAPL,2025-05-19,253.9751,USD,SYNTH
AAPL,2025-05-20,255.6509,USD,SYNTH
AAPL,2025-05-21,258.7184,USD,SYNTH
AAPL,2025-05-22,261.0243,USD,SYNTH
AAPL,2025-05-23,258.1568,USD,SYNTH
AAPL,2025-05-26,254.9008,USD,SYNTH
AAPL,2025-05-27,252.8209,USD,SYNTH
AAPL,2025-05-28,255.1691,USD,SYNTH
AAPL,2025-05-29,254.0968,USD,SYNTH
AAPL,2025-05-30,265.8562,USD,SYNTH
AAPL,2025-06-02,261.0298,USD,SYNTH
AAPL,2025-06-03,255.9450,USD,SYNTH
AAPL,2025-06-04,259.5621,USD,SYNTH
AAPL,2025-06-05,266.2830,USD,SYNTH
AAPL,2025-06-06,268.7867,USD,SYNTH
AAPL,2025-06-09,272.9112,USD,SYNTH
AAPL,2025-06-10,279.9999,USD,SYNTH
AAPL,2025-06-11,279.6100,USD,SYNTH
AAPL,2025-06-12,272.5321,USD,SYNTH
AAPL,2025-06-13,270.0037,USD,SYNTH
AAPL,2025-06-16,274.7159,USD,SYNTH
AAPL,2025-06-17,267.6595,USD,SYNTH
AAPL,2025-06-18,267.9013,USD,SYNTH
AAPL,2025-06-19,269.2028,USD,SYNTH
AAPL,2025-06-20,267.7544,USD,SYNTH
AAPL,2025-06-23,271.3223,USD,SYNTH
AAPL,2025-06-24,274.2401,USD,SYNTH
AAPL,2025-06-25,285.7816,USD,SYNTH
AAPL,2025-06-26,289.0565,USD,SYNTH
AAPL,2025-06-27,285.9725,USD,SYNTH
AAPL,2025-06-30,283.1664,USD,SYNTH
AAPL,2025-07-01,279.0128,USD,SYNTH
AAPL,2025-07-02,283.8790,USD,SYNTH
AAPL,2025-07-03,281.0678,USD,SYNTH
AAPL,2025-07-04,280.7966,USD,SYNTH
AAPL,2025-07-07,284.6681,USD,SYNTH
AAPL,2025-07-08,281.0465,USD,SYNTH
AAPL,2025-07-09,279.6452,USD,SYNTH
AAPL,2025-07-10,270.4608,USD,SYNTH
AAPL,2025-07-11,265.2721,USD,SYNTH
AAPL,2025-07-14,262.6408,USD,SYNTH
AAPL,2025-07-15,264.6851,USD,SYNTH
AAPL,2025-07-16,270.4507,USD,SYNTH
AAPL,2025-07-17,270.4419,USD,SYNTH
AAPL,2025-07-18,271.7954,USD,SYNTH
AAPL,2025-07-21,272.6987,USD,SYNTH
AAPL,2025-07-22,278.1050,USD,SYNTH
AAPL,2025-07-23,282.6605,USD,SYNTH
AAPL,2025-07-24,284.1378,USD,SYNTH
AAPL,2025-07-25,279.0526,USD,SYNTH
AAPL,2025-07-28,283.6740,USD,SYNTH
AAPL,2025-07-29,285.7047,USD,SYNTH
AAPL,2025-07-30,292.1002,USD,SYNTH
AAPL,2025-07-31,292.0306,USD,SYNTH
AAPL,2025-08-01,302.3848,USD,SYNTH
AAPL,2025-08-04,300.5222,USD,SYNTH
AAPL,2025-08-05,309.2298,USD,SYNTH
AAPL,2025-08-06,309.9634,USD,SYNTH
AAPL,2025-08-07,307.1759,USD,SYNTH
AAPL,2025-08-08,301.0287,USD,SYNTH
AAPL,2025-08-11,300.3006,USD,SYNTH
AAPL,2025-08-12,308.0844,USD,SYNTH
AAPL,2025-08-13,312.7040,USD,SYNTH
AAPL,2025-08-14,316.6753,USD,SYNTH
AAPL,2025-08-15,303.2275,USD,SYNTH
AAPL,2025-08-18,307.1990,USD,SYNTH
AAPL,2025-08-19,310.3648,USD,SYNTH
AAPL,2025-08-20,307.3857,USD,SYNTH
AAPL,2025-08-21,304.0066,USD,SYNTH
AAPL,2025-08-22,304.0852,USD,SYNTH
AAPL,2025-08-25,313.6176,USD,SYNTH
AAPL,2025-08-26,307.7555,USD,SYNTH
AAPL,2025-08-27,305.4779,USD,SYNTH
AAPL,2025-08-28,313.0575,USD,SYNTH
AAPL,2025-08-29,310.6373,USD,SYNTH
