PORT,CASH_DATE,CURRENCY,CASH,MV
PORT_A,2025-05-30,USD,26773.49,26773.49
PORT_A,2025-06-30,USD,22510.04,22510.04
PORT_A,2025-07-31,USD,15315.45,15315.45
PORT_A,2025-08-29,USD,-4405.05,-4405.05
PORT_A,2025-09-30,USD,4483.41,4483.41
PORT_A,2025-10-31,USD,-35044.98,-35044.98
PORT_A,2025-11-28,USD,26943.43,26943.43
PORT_A,2025-12-31,USD,30636.48,30636.48
PORT_A,2026-01-30,USD,55611.57,55611.57
PORT_A,2026-02-27,USD,41877.88,41877.88
PORT_A,2026-03-31,USD,96905.43,96905.43
PORT_A,2026-04-30,USD,22026.04,22026.04
PORT_A,2026-05-22,USD,45828.62,45828.62
PORT_B,2025-05-30,USD,-205681.68,-205681.68
PORT_B,2025-06-30,USD,-317341.38,-317341.38
PORT_B,2025-07-31,USD,-347105.71,-347105.71
PORT_B,2025-08-29,USD,-456688.62,-456688.62
PORT_B,2025-09-30,USD,-463318.26,-463318.26
PORT_B,2025-10-31,USD,-449706.05,-449706.05
PORT_B,2025-11-28,USD,-400722.51,-400722.51
PORT_B,2025-12-31,USD,-333613.75,-333613.75
PORT_B,2026-01-30,USD,-288350.73,-288350.73
PORT_B,2026-02-27,USD,-329320.14,-329320.14
PORT_B,2026-03-31,USD,-287343.15,-287343.15
PORT_B,2026-04-30,USD,-159710.65,-159710.65
PORT_B,2026-05-22,USD,-150733.95,-150733.95
PORT_C,2025-05-30,USD,211965.26,211965.26
PORT_C,2025-06-30,USD,181884.43,181884.43
PORT_C,2025-07-31,USD,156084.22,156084.22
PORT_C,2025-08-29,USD,78678.64,78678.64
PORT_C,2025-09-30,USD,77847.43,77847.43
PORT_C,2025-10-31,USD,50557.25,50557.25
PORT_C,2025-11-28,USD,28331.48,28331.48
PORT_C,2025-12-31,USD,-88747.50,-88747.50
PORT_C,2026-01-30,USD,-138350.28,-138350.28
PORT_C,2026-02-27,USD,-141816.96,-141816.96
PORT_C,2026-03-31,USD,-125525.37,-125525.37
PORT_C,2026-04-30,USD,-170995.14,-170995.14
PORT_C,2026-05-22,USD,-121585.38,-121585.38
