CUSIP,TYPE,MATURITY,COUPON,SECURITY_ID,TICKER,SECURITY_NAME,ISIN,INDUSTRY_CODE,INDUSTRY_DESC,SECTOR_CODE,SECTOR_DESC,COUNTRY_CODE,COUNTRY_DESC,ASSET_CLASS_CODE,ASSET_CLASS_DESC,CURRENCY_CODE,CURRENCY_DESC,USER_CLASS_1_CODE,USER_CLASS_1_DESC,USER_CLASS_2_CODE,USER_CLASS_2_DESC,USER_CLASS_3_CODE,USER_CLASS_3_DESC
037833100,EQUITY,,,AAPL,AAPL,Apple Inc,,,Technology,,,US,,EQUITY,,USD,,,,,,,
594918104,EQUITY,,,MSFT,MSFT,Microsoft Corp,,,Technology,,,US,,EQUITY,,USD,,,,,,,
67066G104,EQUITY,,,NVDA,NVDA,NVIDIA Corp,,,Technology,,,US,,EQUITY,,USD,,,,,,,
023135106,EQUITY,,,AMZN,AMZN,Amazon.com Inc,,,Consumer Discretionary,,,US,,EQUITY,,USD,,,,,,,
02079K305,EQUITY,,,GOOGL,GOOGL,Alphabet Inc Class A,,,Communication Services,,,US,,EQUITY,,USD,,,,,,,
30303M102,EQUITY,,,META,META,Meta Platforms Inc,,,Communication Services,,,US,,EQUITY,,USD,,,,,,,
46625H100,EQUITY,,,JPM,JPM,JPMorgan Chase & Co,,,Financials,,,US,,EQUITY,,USD,,,,,,,
478160104,EQUITY,,,JNJ,JNJ,Johnson & Johnson,,,Health Care,,,US,,EQUITY,,USD,,,,,,,
30231G102,EQUITY,,,XOM,XOM,Exxon Mobil Corp,,,Energy,,,US,,EQUITY,,USD,,,,,,,
742718109,EQUITY,,,PG,PG,Procter & Gamble Co,,,Consumer Staples,,,US,,EQUITY,,USD,,,,,,,
437076102,EQUITY,,,HD,HD,Home Depot Inc,,,Consumer Discretionary,,,US,,EQUITY,,USD,,,,,,,
060505104,EQUITY,,,BAC,BAC,Bank of America Corp,,,Financials,,,US,,EQUITY,,USD,,,,,,,
191216100,EQUITY,,,KO,KO,Coca-Cola Co,,,Consumer Staples,,,US,,EQUITY,,USD,,,,,,,
713448108,EQUITY,,,PEP,PEP,PepsiCo Inc,,,Consumer Staples,,,US,,EQUITY,,USD,,,,,,,
17275R102,EQUITY,,,CSCO,CSCO,Cisco Systems Inc,,,Technology,,,US,,EQUITY,,USD,,,,,,,
717081103,EQUITY,,,PFE,PFE,Pfizer Inc,,,Health Care,,,US,,EQUITY,,USD,,,,,,,
92343V104,EQUITY,,,VZ,VZ,Verizon Communications Inc,,,Communication Services,,,US,,EQUITY,,USD,,,,,,,
00206R102,EQUITY,,,T,T,AT&T Inc,,,Communication Services,,,US,,EQUITY,,USD,,,,,,,
931142103,EQUITY,,,WMT,WMT,Walmart Inc,,,Consumer Staples,,,US,,EQUITY,,USD,,,,,,,
254687106,EQUITY,,,DIS,DIS,Walt Disney Co,,,Communication Services,,,US,,EQUITY,,USD,,,,,,,
79466L302,EQUITY,,,CRM,CRM,Salesforce Inc,,,Technology,,,US,,EQUITY,,USD,,,,,,,
68389X105,EQUITY,,,ORCL,ORCL,Oracle Corp,,,Technology,,,US,,EQUITY,,USD,,,,,,,
58933Y105,EQUITY,,,MRK,MRK,Merck & Co Inc,,,Health Care,,,US,,EQUITY,,USD,,,,,,,
166764100,EQUITY,,,CVX,CVX,Chevron Corp,,,Energy,,,US,,EQUITY,,USD,,,,,,,
459200101,EQUITY,,,IBM,IBM,International Business Machines Corp,,,Technology,,,US,,EQUITY,,USD,,,,,,,
