TRANSACTION_ID,PORT,TRANSACTION_DATE,SETTLE_DATE,SEC,TRAN,SEC_TYPE,SRC_DEST_TYPE,SRC_DEST_SYMBOL,SPECIAL_SEC_TYPE,SPECIAL_SEC_SYMBOL,QTY,PRICE,AMOUNT,COMMISSION
ALPHA0101,ALPHA,2025-12-04,2025-12-05,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
ALPHA0102,ALPHA,2025-12-04,2025-12-05,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
ALPHA0201,ALPHA,2026-01-06,2026-01-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
ALPHA0202,ALPHA,2026-01-06,2026-01-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
ALPHA0203,ALPHA,2026-01-20,2026-01-20,CASH_USD,wd,caus,$pty,$cash,,,0.0,0.0,-5000.0,0.0
ALPHA0301,ALPHA,2026-02-05,2026-02-06,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
ALPHA0302,ALPHA,2026-02-05,2026-02-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
ALPHA0401,ALPHA,2026-03-05,2026-03-06,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
ALPHA0402,ALPHA,2026-03-05,2026-03-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
ALPHA0501,ALPHA,2026-04-06,2026-04-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
ALPHA0502,ALPHA,2026-04-06,2026-04-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
ALPHA0601,ALPHA,2026-05-06,2026-05-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
ALPHA0602,ALPHA,2026-05-06,2026-05-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
BALANCED0101,BALANCED,2025-12-04,2025-12-05,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED0102,BALANCED,2025-12-04,2025-12-05,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
BALANCED0201,BALANCED,2026-01-06,2026-01-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED0202,BALANCED,2026-01-06,2026-01-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
BALANCED0203,BALANCED,2026-01-15,2026-01-16,MSFT,sl,csus,$cash,CASH_USD,,,10.0,114.0,1135.05,4.95
BALANCED0301,BALANCED,2026-02-05,2026-02-06,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED0302,BALANCED,2026-02-05,2026-02-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
BALANCED0401,BALANCED,2026-03-05,2026-03-06,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED0402,BALANCED,2026-03-05,2026-03-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
BALANCED0501,BALANCED,2026-04-06,2026-04-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED0502,BALANCED,2026-04-06,2026-04-30,JPM,dv,csus,$income,$cash,,,0.0,0.0,1638.94,0.0
BALANCED0601,BALANCED,2026-05-06,2026-05-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED0602,BALANCED,2026-05-06,2026-05-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME0101,INCOME,2025-12-04,2025-12-05,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME0102,INCOME,2025-12-04,2025-12-05,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME0201,INCOME,2026-01-06,2026-01-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME0202,INCOME,2026-01-06,2026-01-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME0203,INCOME,2026-01-20,2026-01-20,CASH_USD,dp,caus,$pty,$cash,exus,custfee,0.0,0.0,-250.0,0.0
INCOME0301,INCOME,2026-02-05,2026-02-06,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME0302,INCOME,2026-02-05,2026-02-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME0401,INCOME,2026-03-05,2026-03-06,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME0402,INCOME,2026-03-05,2026-03-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME0501,INCOME,2026-04-06,2026-04-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME0502,INCOME,2026-04-06,2026-04-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME0601,INCOME,2026-05-06,2026-05-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME0602,INCOME,2026-05-06,2026-05-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME0603,INCOME,2026-05-15,2026-05-15,TNOTE2Y,in,fius,$income,$cash,,,0.0,0.0,1200.0,0.0
