END_MV,FLOW,INCOME,GAIN_LOSS,PORTFOLIO_CODE,PORTFOLIO_NAME,PERIOD_ID,FROM_DATE,THRU_DATE,BEGIN_MV,PORT_RETURN
1234568.99,0.0,100.0,-98.91,ALPHA,Mega-Cap Alpha,,2025-11-29,2025-12-31,1234567.9,8.829e-07
1233068.98,-6500.0,100.0,4899.99,ALPHA,Mega-Cap Alpha,,2026-01-01,2026-01-30,1234568.99,0.0040578219
1234568.98,0.0,100.0,1400.0,ALPHA,Mega-Cap Alpha,,2026-01-31,2026-02-27,1233068.98,0.001216477
1234555.08,0.0,100.0,-113.9,ALPHA,Mega-Cap Alpha,,2026-02-28,2026-03-31,1234568.98,-1.1259e-05
1234568.97,0.0,100.0,-86.11,ALPHA,Mega-Cap Alpha,,2026-04-01,2026-04-30,1234555.08,1.1251e-05
1237635.01,0.0,100.0,2966.04,ALPHA,Mega-Cap Alpha,,2026-05-01,2026-05-29,1234568.97,0.0024834903
1234572.26,0.0,100.0,-95.64,BALANCED,Mega-Cap Balanced,,2025-11-29,2025-12-31,1234567.9,3.5316e-06
1234570.25,0.0,100.0,-102.01,BALANCED,Mega-Cap Balanced,,2026-01-01,2026-01-30,1234572.26,-1.6281e-06
1234572.25,0.0,100.0,-98.0,BALANCED,Mega-Cap Balanced,,2026-01-31,2026-02-27,1234570.25,1.62e-06
1234572.25,0.0,100.0,-100.0,BALANCED,Mega-Cap Balanced,,2026-02-28,2026-03-31,1234572.25,0.0
1234689.33,0.0,1756.01,-1638.93,BALANCED,Mega-Cap Balanced,,2026-04-01,2026-04-30,1234572.25,9.48345e-05
1236259.93,0.0,100.0,1470.6,BALANCED,Mega-Cap Balanced,,2026-05-01,2026-05-29,1234689.33,0.0012720609
1234576.61,0.0,100.0,-91.28,INCOME,Mega-Cap Income,,2025-11-29,2025-12-31,1234567.89,7.0632e-06
1234526.61,0.0,-200.0,150.0,INCOME,Mega-Cap Income,,2026-01-01,2026-01-30,1234576.61,-4.04997e-05
1234576.63,0.0,100.0,-49.98,INCOME,Mega-Cap Income,,2026-01-31,2026-02-27,1234526.61,4.05176e-05
1234576.61,0.0,100.0,-100.02,INCOME,Mega-Cap Income,,2026-02-28,2026-03-31,1234576.63,-1.62e-08
1234576.62,0.0,100.0,-99.99,INCOME,Mega-Cap Income,,2026-04-01,2026-04-30,1234576.61,8.1e-09
1235943.9,0.0,1380.0,-12.72,INCOME,Mega-Cap Income,,2026-05-01,2026-05-29,1234576.62,0.001107489
