SECURITY_ID,SECURITY_NAME,ASSET_CLASS_CODE,SECTOR_CODE,COUNTRY_CODE,CURRENCY_CODE,INDUSTRY_CODE
AAPL,Apple Inc,EQ,EQ,US,USD,EQ
AMZN,Amazon.Com Inc,EQ,EQ,US,USD,EQ
AVGO,Broadcom Inc,EQ,EQ,US,USD,EQ
BRKB,Berkshire Hathaway Inc Class B,EQ,EQ,US,USD,EQ
CASH_USD,US Dollar Cash,CASH,CA,US,USD,CA
GOOG,Alphabet Inc Class C,EQ,EQ,US,USD,EQ
GOOGL,Alphabet Inc Class A,EQ,EQ,US,USD,EQ
JPM,JPMorgan Chase & Co,EQ,EQ,US,USD,EQ
META,Meta Platforms Inc Class A,EQ,EQ,US,USD,EQ
MSFT,Microsoft Corp,EQ,EQ,US,USD,EQ
NVDA,Nvidia Corp,EQ,EQ,US,USD,EQ
TBILL13W,13 Week Treasury Bill,TBILL,CA,US,USD,CA
TNOTE2Y,2 Year Treasury Note,TNOTE,CA,US,USD,CA
TNOTE5Y,5 Year Treasury Note,TNOTE,CA,US,USD,CA
TSLA,Tesla Inc,EQ,EQ,US,USD,EQ
