PORT,TRANSACTION_DATE,SETTLE_DATE,SEC,TRAN,SEC_TYPE,SRC_DEST_TYPE,SRC_DEST_SYMBOL,SPECIAL_SEC_TYPE,SPECIAL_SEC_SYMBOL,QTY,PRICE,AMOUNT,COMMISSION
ALPHA,2025-12-04,2025-12-05,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
ALPHA,2025-12-04,2025-12-05,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
ALPHA,2026-01-06,2026-01-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
ALPHA,2026-01-06,2026-01-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
ALPHA,2026-01-20,2026-01-20,CASH_USD,wd,caus,$pty,$cash,,,0.0,0.0,-6500.0,0.0
ALPHA,2026-02-05,2026-02-06,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
ALPHA,2026-02-05,2026-02-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
ALPHA,2026-03-05,2026-03-06,AAPL,by,csus,$cash,CASH_USD,,,25.9819,161.15,-4201.93,14.95
ALPHA,2026-03-05,2026-03-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
ALPHA,2026-04-06,2026-04-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
ALPHA,2026-04-06,2026-04-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
ALPHA,2026-05-06,2026-05-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
ALPHA,2026-05-06,2026-05-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
BALANCED,2025-12-04,2025-12-05,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED,2025-12-04,2025-12-05,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
BALANCED,2026-01-06,2026-01-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED,2026-01-06,2026-01-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
BALANCED,2026-01-15,2026-01-16,MSFT,sl,csus,$cash,CASH_USD,,,12.0,114.25,1361.05,9.95
BALANCED,2026-02-05,2026-02-06,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED,2026-02-05,2026-02-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
BALANCED,2026-03-05,2026-03-06,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED,2026-03-05,2026-03-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
BALANCED,2026-04-06,2026-04-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED,2026-04-06,2026-04-30,JPM,dv,csus,$income,$cash,,,0.0,0.0,1756.01,0.0
BALANCED,2026-05-06,2026-05-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED,2026-05-06,2026-05-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME,2025-12-04,2025-12-05,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME,2025-12-04,2025-12-05,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME,2026-01-06,2026-01-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME,2026-01-06,2026-01-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME,2026-01-20,2026-01-20,CASH_USD,dp,caus,$pty,$cash,exus,custfee,0.0,0.0,-300.0,0.0
INCOME,2026-02-05,2026-02-06,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME,2026-02-05,2026-02-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME,2026-03-05,2026-03-06,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME,2026-03-05,2026-03-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME,2026-04-06,2026-04-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME,2026-04-06,2026-04-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME,2026-05-06,2026-05-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME,2026-05-06,2026-05-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME,2026-05-15,2026-05-15,TNOTE2Y,in,fius,$income,$cash,,,0.0,0.0,1280.0,0.0
BALANCED,2026-03-20,2026-03-20,CASH_USD,li,caus,$pty,$cash,,,0.0,0.0,2500.0,0.0
