PORT,TRANSACTION_DATE,SETTLE_DATE,SEC,TRAN,SEC_TYPE,SRC_DEST_TYPE,SRC_DEST_SYMBOL,SPECIAL_SEC_TYPE,SPECIAL_SEC_SYMBOL,QTY,PRICE,AMOUNT,COMMISSION
ALPHA,2025-12-04,2025-12-05,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
ALPHA,2025-12-04,2025-12-05,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
ALPHA,2026-01-06,2026-01-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
ALPHA,2026-01-06,2026-01-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
ALPHA,2026-01-20,2026-01-20,CASH_USD,wd,caus,$pty,$cash,,,0.0,0.0,-5000.0,0.0
ALPHA,2026-02-05,2026-02-06,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
ALPHA,2026-02-05,2026-02-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
ALPHA,2026-03-05,2026-03-06,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
ALPHA,2026-03-05,2026-03-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
ALPHA,2026-04-06,2026-04-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
ALPHA,2026-04-06,2026-04-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
ALPHA,2026-05-06,2026-05-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
ALPHA,2026-05-06,2026-05-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
BALANCED,2025-12-04,2025-12-05,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED,2025-12-04,2025-12-05,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
BALANCED,2026-01-06,2026-01-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED,2026-01-06,2026-01-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
BALANCED,2026-01-15,2026-01-16,MSFT,sl,csus,$cash,CASH_USD,,,10.0,114.0,1135.05,4.95
BALANCED,2026-02-05,2026-02-06,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED,2026-02-05,2026-02-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
BALANCED,2026-03-05,2026-03-06,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED,2026-03-05,2026-03-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
BALANCED,2026-04-06,2026-04-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED,2026-04-06,2026-04-30,JPM,dv,csus,$income,$cash,,,0.0,0.0,1638.94,0.0
BALANCED,2026-05-06,2026-05-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED,2026-05-06,2026-05-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME,2025-12-04,2025-12-05,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME,2025-12-04,2025-12-05,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME,2026-01-06,2026-01-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME,2026-01-06,2026-01-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME,2026-01-20,2026-01-20,CASH_USD,dp,caus,$pty,$cash,exus,custfee,0.0,0.0,-250.0,0.0
INCOME,2026-02-05,2026-02-06,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME,2026-02-05,2026-02-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME,2026-03-05,2026-03-06,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME,2026-03-05,2026-03-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME,2026-04-06,2026-04-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME,2026-04-06,2026-04-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME,2026-05-06,2026-05-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME,2026-05-06,2026-05-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME,2026-05-15,2026-05-15,TNOTE2Y,in,fius,$income,$cash,,,0.0,0.0,1200.0,0.0
