Portfolio Code,Security Symbol,Security Type,Holding Date,Accrued Income,Base Currency,Base Market Value,Currency Code,Market Value,Price,Quantity
ALPHA,AAPL,csus,2025-12-31,0.0,USD,177361.25,USD,177361.25,271.86,652.3992
ALPHA,AAPL,csus,2026-01-30,0.0,USD,173240.65,USD,173240.65,259.48,667.6454
ALPHA,AAPL,csus,2026-02-27,0.0,USD,180208.52,USD,180208.52,264.18,682.1429
ALPHA,AAPL,csus,2026-03-31,0.0,USD,177021.17,USD,177021.17,253.79,697.5104
ALPHA,AAPL,csus,2026-04-30,0.0,USD,193462.47,USD,193462.47,271.35,712.9628
ALPHA,AAPL,csus,2026-05-29,0.0,USD,226828.75,USD,226828.75,312.06,726.8754
ALPHA,AMZN,csus,2025-12-31,0.0,USD,95764.79,USD,95764.79,230.82,414.8895
ALPHA,AMZN,csus,2026-01-30,0.0,USD,99283.05,USD,99283.05,239.3,414.8895
ALPHA,AMZN,csus,2026-02-27,0.0,USD,87126.79,USD,87126.79,210.0,414.8895
ALPHA,AMZN,csus,2026-03-31,0.0,USD,86409.03,USD,86409.03,208.27,414.8895
ALPHA,AMZN,csus,2026-04-30,0.0,USD,109970.6,USD,109970.6,265.06,414.8895
ALPHA,AMZN,csus,2026-05-29,0.0,USD,112285.69,USD,112285.69,270.64,414.8895
ALPHA,AVGO,csus,2025-12-31,0.0,USD,88403.09,USD,88403.09,346.1,255.4264
ALPHA,AVGO,csus,2026-01-30,0.0,USD,84622.77,USD,84622.77,331.3,255.4264
ALPHA,AVGO,csus,2026-02-27,0.0,USD,81621.51,USD,81621.51,319.55,255.4264
ALPHA,AVGO,csus,2026-03-31,0.0,USD,79057.04,USD,79057.04,309.51,255.4264
ALPHA,AVGO,csus,2026-04-30,0.0,USD,106622.65,USD,106622.65,417.43,255.4264
ALPHA,AVGO,csus,2026-05-29,0.0,USD,114116.86,USD,114116.86,446.77,255.4264
ALPHA,CASHUSD,caus,2025-12-31,0.0,USD,16000.0,USD,16000.0,1.0,16000.0
ALPHA,CASHUSD,caus,2026-01-30,0.0,USD,11495.06,USD,11495.06,1.0,11495.06
ALPHA,CASHUSD,caus,2026-02-27,0.0,USD,7490.1,USD,7490.1,1.0,7490.1
ALPHA,CASHUSD,caus,2026-03-31,0.0,USD,3485.14,USD,3485.14,1.0,3485.14
ALPHA,CASHUSD,caus,2026-04-30,-0.0,USD,-350.57,USD,-350.57,1.0,-350.57
ALPHA,CASHUSD,caus,2026-05-29,-0.0,USD,-4355.53,USD,-4355.53,1.0,-4355.53
ALPHA,CVNA,csus,2025-12-31,0.0,USD,1818.13,USD,1818.13,422.02,4.3082
ALPHA,CVNA,csus,2026-01-30,0.0,USD,1728.05,USD,1728.05,401.11,4.3082
ALPHA,CVNA,csus,2026-02-27,0.0,USD,1439.62,USD,1439.62,334.16,4.3082
ALPHA,CVNA,csus,2026-03-31,0.0,USD,1354.4,USD,1354.4,314.38,4.3082
ALPHA,CVNA,csus,2026-04-30,0.0,USD,1705.17,USD,1705.17,395.8,4.3082
ALPHA,CVNA,csus,2026-05-29,0.0,USD,314.5,USD,314.5,73.0,4.3082
ALPHA,GOOG,csus,2025-12-31,0.0,USD,67665.27,USD,67665.27,313.8,215.6318
ALPHA,GOOG,csus,2026-01-30,0.0,USD,72997.85,USD,72997.85,338.53,215.6318
ALPHA,GOOG,csus,2026-02-27,0.0,USD,67154.22,USD,67154.22,311.43,215.6318
ALPHA,GOOG,csus,2026-03-31,0.0,USD,61856.15,USD,61856.15,286.86,215.6318
ALPHA,GOOG,csus,2026-04-30,0.0,USD,82358.43,USD,82358.43,381.94,215.6318
ALPHA,GOOG,csus,2026-05-29,0.0,USD,81170.29,USD,81170.29,376.43,215.6318
ALPHA,GOOGL,csus,2025-12-31,0.0,USD,84265.7,USD,84265.7,313.0,269.2195
ALPHA,GOOGL,csus,2026-01-30,0.0,USD,90996.19,USD,90996.19,313.0,269.2195
ALPHA,GOOGL,csus,2026-02-27,0.0,USD,83931.87,USD,83931.87,311.76,269.2195
ALPHA,GOOGL,csus,2026-03-31,0.0,USD,77416.76,USD,77416.76,287.56,269.2195
ALPHA,GOOGL,csus,2026-04-30,0.0,USD,103595.66,USD,103595.66,384.8,269.2195
ALPHA,GOOGL,csus,2026-05-29,0.0,USD,102394.94,USD,102394.94,380.34,269.2195
ALPHA,JPM,csus,2025-12-31,0.0,USD,38953.94,USD,38953.94,322.22,120.8924
ALPHA,JPM,csus,2026-01-30,0.0,USD,36979.77,USD,36979.77,305.89,120.8924
ALPHA,JPM,csus,2026-02-27,0.0,USD,36303.98,USD,36303.98,300.3,120.8924
ALPHA,JPM,csus,2026-03-31,0.0,USD,35561.7,USD,35561.7,294.16,120.8924
ALPHA,JPM,csus,2026-04-30,0.0,USD,37867.12,USD,37867.12,313.23,120.8924
ALPHA,JPM,csus,2026-05-29,0.0,USD,36184.3,USD,36184.3,299.31,120.8924
ALPHA,36225MBS1,fius,2025-12-31,2.52,USD,2000.0,USD,2000.0,95.22,21.004
ALPHA,36225MBS1,fius,2026-01-30,2.52,USD,2009.87,USD,2009.87,95.69,21.004
ALPHA,36225MBS1,fius,2026-02-27,2.52,USD,2035.5,USD,2035.5,96.91,21.004
ALPHA,36225MBS1,fius,2026-03-31,2.52,USD,1994.33,USD,1994.33,94.95,21.004
ALPHA,36225MBS1,fius,2026-04-30,2.52,USD,1990.76,USD,1990.76,94.78,21.004
ALPHA,36225MBS1,fius,2026-05-29,2.52,USD,1990.97,USD,1990.97,94.79,21.004
ALPHA,META,csus,2025-12-31,0.0,USD,58325.78,USD,58325.78,660.09,88.3603
ALPHA,META,csus,2026-01-30,0.0,USD,63310.18,USD,63310.18,716.5,88.3603
ALPHA,META,csus,2026-02-27,0.0,USD,57273.41,USD,57273.41,648.18,88.3603
ALPHA,META,csus,2026-03-31,0.0,USD,50553.6,USD,50553.6,572.13,88.3603
ALPHA,META,csus,2026-04-30,0.0,USD,54068.57,USD,54068.57,611.91,88.3603
ALPHA,META,csus,2026-05-29,0.0,USD,55888.8,USD,55888.8,632.51,88.3603
ALPHA,MSFT,csus,2025-12-31,0.0,USD,146809.23,USD,146809.23,483.62,303.5632
ALPHA,MSFT,csus,2026-01-30,0.0,USD,130620.21,USD,130620.21,0.0,303.5632
ALPHA,MSFT,csus,2026-02-27,0.0,USD,119221.41,USD,119221.41,392.74,303.5632
ALPHA,MSFT,csus,2026-03-31,0.0,USD,112369.99,USD,112369.99,370.17,303.5632
ALPHA,MSFT,csus,2026-04-30,0.0,USD,123787.0,USD,123787.0,407.78,303.5632
ALPHA,MSFT,csus,2026-05-29,0.0,USD,136676.29,USD,136676.29,450.24,303.5632
ALPHA,NVDA,csus,2025-12-31,0.0,USD,200632.82,USD,200632.82,186.5,1075.7792
ALPHA,NVDA,csus,2026-01-30,0.0,USD,205613.68,USD,205613.68,191.13,1075.7792
ALPHA,NVDA,csus,2026-02-27,0.0,USD,190617.32,USD,190617.32,177.19,1075.7792
ALPHA,NVDA,csus,2026-03-31,0.0,USD,187615.89,USD,187615.89,174.4,1075.7792
ALPHA,NVDA,csus,2026-04-30,0.0,USD,214693.26,USD,214693.26,199.57,1075.7792
ALPHA,NVDA,csus,2026-05-29,0.0,USD,227140.02,USD,227140.02,211.14,1075.7792
ALPHA,912797AA1,fius,2025-12-31,0.0,USD,10000.0,USD,10000.0,91.38,109.4331
ALPHA,912797AA1,fius,2026-01-30,0.0,USD,10029.55,USD,10029.55,91.65,109.4331
ALPHA,912797AA1,fius,2026-02-27,0.0,USD,10026.26,USD,10026.26,91.62,109.4331
ALPHA,912797AA1,fius,2026-03-31,0.0,USD,10028.45,USD,10028.45,91.64,109.4331
ALPHA,912797AA1,fius,2026-04-30,0.0,USD,10028.45,USD,10028.45,91.64,109.4331
ALPHA,912797AA1,fius,2026-05-29,0.0,USD,10030.64,USD,10030.64,91.66,109.4331
ALPHA,91282Y2Y1,fius,2025-12-31,4.71,USD,6000.0,USD,6000.0,82.82,72.4463
ALPHA,91282Y2Y1,fius,2026-01-30,4.71,USD,6012.32,USD,6012.32,82.99,72.4463
ALPHA,91282Y2Y1,fius,2026-02-27,4.71,USD,6026.08,USD,6026.08,83.18,72.4463
ALPHA,91282Y2Y1,fius,2026-03-31,4.71,USD,5981.89,USD,5981.89,82.57,72.4463
ALPHA,91282Y2Y1,fius,2026-04-30,4.71,USD,5975.37,USD,5975.37,82.48,72.4463
ALPHA,91282Y2Y1,fius,2026-05-29,4.71,USD,5962.33,USD,5962.33,82.3,72.4463
ALPHA,91282Y5Y1,fius,2025-12-31,4.78,USD,6000.0,USD,6000.0,119.35,50.2723
ALPHA,91282Y5Y1,fius,2026-01-30,4.78,USD,6000.0,USD,6000.0,119.35,50.2723
ALPHA,91282Y5Y1,fius,2026-02-27,4.78,USD,6068.87,USD,6068.87,120.72,50.2723
ALPHA,91282Y5Y1,fius,2026-03-31,4.78,USD,5962.3,USD,5962.3,118.6,50.2723
ALPHA,91282Y5Y1,fius,2026-04-30,4.78,USD,5943.7,USD,5943.7,118.23,50.2723
ALPHA,91282Y5Y1,fius,2026-05-29,4.78,USD,5919.06,USD,5919.06,117.74,50.2723
BALANCED,AAPL,csus,2025-12-31,0.0,USD,155191.1,USD,155191.1,271.86,570.8494
BALANCED,AAPL,csus,2026-01-30,0.0,USD,152080.08,USD,152080.08,259.48,586.0956
BALANCED,AAPL,csus,2026-02-27,0.0,USD,158664.67,USD,158664.67,264.18,600.5931
BALANCED,AAPL,csus,2026-03-31,0.0,USD,156324.63,USD,156324.63,253.79,615.9606
BALANCED,AAPL,csus,2026-04-10,0.0,USD,164470.46,USD,164470.46,260.48,631.413
BALANCED,AAPL,csus,2026-04-16,0.0,USD,166314.17,USD,166314.17,263.4,631.413
BALANCED,AAPL,csus,2026-04-24,0.0,USD,171150.8,USD,171150.8,271.06,631.413
BALANCED,AAPL,csus,2026-04-30,0.0,USD,171333.91,USD,171333.91,271.35,631.413
BALANCED,AAPL,csus,2026-05-08,0.0,USD,189286.9,USD,189286.9,293.32,645.3256
BALANCED,AAPL,csus,2026-05-14,0.0,USD,192442.53,USD,192442.53,298.21,645.3256
BALANCED,AAPL,csus,2026-05-29,0.0,USD,201380.29,USD,201380.29,312.06,645.3256
BALANCED,AMZN,csus,2025-12-31,0.0,USD,83794.19,USD,83794.19,230.82,363.0283
BALANCED,AMZN,csus,2026-01-30,0.0,USD,86872.67,USD,86872.67,239.3,363.0283
BALANCED,AMZN,csus,2026-02-27,0.0,USD,76235.94,USD,76235.94,210.0,363.0283
BALANCED,AMZN,csus,2026-03-31,0.0,USD,75607.9,USD,75607.9,208.27,363.0283
BALANCED,AMZN,csus,2026-04-10,0.0,USD,86538.68,USD,86538.68,238.38,363.0283
BALANCED,AMZN,csus,2026-04-16,0.0,USD,90648.16,USD,90648.16,249.7,363.0283
BALANCED,AMZN,csus,2026-04-24,0.0,USD,95835.83,USD,95835.83,263.99,363.0283
BALANCED,AMZN,csus,2026-04-30,0.0,USD,96224.27,USD,96224.27,265.06,363.0283
BALANCED,AMZN,csus,2026-05-08,0.0,USD,98990.55,USD,98990.55,272.68,363.0283
BALANCED,AMZN,csus,2026-05-14,0.0,USD,97008.42,USD,97008.42,267.22,363.0283
BALANCED,AMZN,csus,2026-05-29,0.0,USD,98249.98,USD,98249.98,270.64,363.0283
BALANCED,AVGO,csus,2025-12-31,0.0,USD,77352.7,USD,77352.7,346.1,223.4981
BALANCED,AVGO,csus,2026-01-30,0.0,USD,74044.92,USD,74044.92,331.3,223.4981
BALANCED,AVGO,csus,2026-02-27,0.0,USD,71418.82,USD,71418.82,319.55,223.4981
BALANCED,AVGO,csus,2026-03-31,0.0,USD,69174.9,USD,69174.9,309.51,223.4981
BALANCED,AVGO,csus,2026-04-10,0.0,USD,83040.72,USD,83040.72,371.55,223.4981
BALANCED,AVGO,csus,2026-04-16,0.0,USD,89057.3,USD,89057.3,398.47,223.4981
BALANCED,AVGO,csus,2026-04-24,0.0,USD,94486.07,USD,94486.07,422.76,223.4981
BALANCED,AVGO,csus,2026-04-30,0.0,USD,93294.82,USD,93294.82,417.43,223.4981
BALANCED,AVGO,csus,2026-05-08,0.0,USD,96104.19,USD,96104.19,430.0,223.4981
BALANCED,AVGO,csus,2026-05-14,0.0,USD,98292.24,USD,98292.24,439.79,223.4981
BALANCED,AVGO,csus,2026-05-29,0.0,USD,99852.25,USD,99852.25,446.77,223.4981
BALANCED,CASHUSD,caus,2025-12-31,0.0,USD,64000.0,USD,64000.0,1.0,64000.0
BALANCED,CASHUSD,caus,2026-01-30,0.0,USD,64556.71,USD,64556.71,1.0,64556.71
BALANCED,CASHUSD,caus,2026-02-27,0.0,USD,60551.75,USD,60551.75,1.0,60551.75
BALANCED,CASHUSD,caus,2026-03-31,0.0,USD,58017.59,USD,58017.59,1.0,58017.59
BALANCED,CASHUSD,caus,2026-04-10,0.0,USD,54138.51,USD,54138.51,1.0,54138.51
BALANCED,CASHUSD,caus,2026-04-16,0.0,USD,54138.51,USD,54138.51,1.0,54138.51
BALANCED,CASHUSD,caus,2026-04-24,0.0,USD,54138.51,USD,54138.51,1.0,54138.51
BALANCED,CASHUSD,caus,2026-04-30,0.0,USD,54138.51,USD,54138.51,1.0,54138.51
BALANCED,CASHUSD,caus,2026-05-08,0.0,USD,50133.55,USD,50133.55,1.0,50133.55
BALANCED,CASHUSD,caus,2026-05-14,0.0,USD,50133.55,USD,50133.55,1.0,50133.55
BALANCED,CASHUSD,caus,2026-05-29,0.0,USD,50133.55,USD,50133.55,1.0,50133.55
BALANCED,CVNA,csus,2025-12-31,0.0,USD,1590.87,USD,1590.87,422.02,3.7697
BALANCED,CVNA,csus,2026-01-30,0.0,USD,1512.05,USD,1512.05,401.11,3.7697
BALANCED,CVNA,csus,2026-02-27,0.0,USD,1259.67,USD,1259.67,334.16,3.7697
BALANCED,CVNA,csus,2026-03-31,0.0,USD,1185.1,USD,1185.1,314.38,3.7697
BALANCED,CVNA,csus,2026-04-10,0.0,USD,1267.77,USD,1267.77,336.31,3.7697
BALANCED,CVNA,csus,2026-04-16,0.0,USD,1365.52,USD,1365.52,362.24,3.7697
BALANCED,CVNA,csus,2026-04-24,0.0,USD,1542.09,USD,1542.09,409.08,3.7697
BALANCED,CVNA,csus,2026-04-30,0.0,USD,1492.03,USD,1492.03,395.8,3.7697
BALANCED,CVNA,csus,2026-05-08,0.0,USD,293.81,USD,293.81,77.94,3.7697
BALANCED,CVNA,csus,2026-05-14,0.0,USD,262.1,USD,262.1,69.53,3.7697
BALANCED,CVNA,csus,2026-05-29,0.0,USD,275.18,USD,275.18,73.0,3.7697
BALANCED,GOOG,csus,2025-12-31,0.0,USD,59207.11,USD,59207.11,313.8,188.6779
BALANCED,GOOG,csus,2026-01-30,0.0,USD,63873.12,USD,63873.12,338.53,188.6779
BALANCED,GOOG,csus,2026-02-27,0.0,USD,58759.94,USD,58759.94,311.43,188.6779
BALANCED,GOOG,csus,2026-03-31,0.0,USD,54124.13,USD,54124.13,286.86,188.6779
BALANCED,GOOG,csus,2026-04-10,0.0,USD,59569.37,USD,59569.37,315.72,188.6779
BALANCED,GOOG,csus,2026-04-16,0.0,USD,62786.33,USD,62786.33,332.77,188.6779
BALANCED,GOOG,csus,2026-04-24,0.0,USD,64588.21,USD,64588.21,342.32,188.6779
BALANCED,GOOG,csus,2026-04-30,0.0,USD,72063.62,USD,72063.62,381.94,188.6779
BALANCED,GOOG,csus,2026-05-08,0.0,USD,74914.54,USD,74914.54,397.05,188.6779
BALANCED,GOOG,csus,2026-05-14,0.0,USD,74937.19,USD,74937.19,397.17,188.6779
BALANCED,GOOG,csus,2026-05-29,0.0,USD,71024.01,USD,71024.01,376.43,188.6779
BALANCED,GOOGL,csus,2025-12-31,0.0,USD,73732.49,USD,73732.49,313.0,235.5671
BALANCED,GOOGL,csus,2026-01-30,0.0,USD,79621.67,USD,79621.67,338.0,235.5671
BALANCED,GOOGL,csus,2026-02-27,0.0,USD,73440.39,USD,73440.39,311.76,235.5671
BALANCED,GOOGL,csus,2026-03-31,0.0,USD,67739.66,USD,67739.66,287.56,235.5671
BALANCED,GOOGL,csus,2026-04-10,0.0,USD,74731.29,USD,74731.29,317.24,235.5671
BALANCED,GOOGL,csus,2026-04-16,0.0,USD,79155.24,USD,79155.24,336.02,235.5671
BALANCED,GOOGL,csus,2026-04-24,0.0,USD,81129.29,USD,81129.29,344.4,235.5671
BALANCED,GOOGL,csus,2026-04-30,0.0,USD,90646.2,USD,90646.2,384.8,235.5671
BALANCED,GOOGL,csus,2026-05-08,0.0,USD,94415.28,USD,94415.28,400.8,235.5671
BALANCED,GOOGL,csus,2026-05-14,0.0,USD,94478.88,USD,94478.88,401.07,235.5671
BALANCED,GOOGL,csus,2026-05-29,0.0,USD,89595.58,USD,89595.58,380.34,235.5671
BALANCED,JPM,csus,2025-12-31,0.0,USD,34084.7,USD,34084.7,322.22,105.7808
