Portfolio Code,Security Symbol,Security Type,Transaction Date,Amount,Base Amount,Base Currency,Commission,Currency Code,Price,Quantity,Settlement Date,Source/Destination Symbol,Source/Destination Type,Special Security Symbol,Special Security Type,Transaction Code,Transaction Security Type
ALPHA,AAPL,csus,2025-12-04,-4004.95,-4004.95,USD,4.95,USD,280.7,14.2501,2025-12-05,CASHUSD,$cash,,,by,csus
ALPHA,AAPL,csus,2026-01-06,-4004.94,-4004.94,USD,4.95,USD,262.36,15.2462,2026-01-07,CASHUSD,$cash,,,by,csus
ALPHA,CASHUSD,caus,2026-01-20,-500.0,-500.0,USD,0.0,USD,0.0,0.0,2026-01-20,$cash,$pty,,,wd,caus
ALPHA,AAPL,csus,2026-02-05,-4004.96,-4004.96,USD,4.95,USD,275.91,14.4975,2026-02-06,CASHUSD,$cash,,,by,csus
ALPHA,AAPL,csus,2026-03-05,-4004.96,-4004.96,USD,4.95,USD,260.29,15.3675,2026-03-06,CASHUSD,$cash,,,by,csus
ALPHA,AAPL,csus,2026-04-06,-4004.96,-4004.96,USD,4.95,USD,258.86,15.4524,2026-04-07,CASHUSD,$cash,,,by,csus
ALPHA,JPM,csus,2026-04-06,169.25,169.25,USD,0.0,USD,0.0,0.0,2026-04-30,$cash,$income,,,dv,csus
ALPHA,AAPL,csus,2026-05-06,-4004.96,-4004.96,USD,4.95,USD,287.51,13.9126,2026-05-07,CASHUSD,$cash,,,by,csus
BALANCED,AAPL,csus,2025-12-04,-4004.95,-4004.95,USD,4.95,USD,280.7,14.2501,2025-12-05,CASHUSD,$cash,,,by,csus
BALANCED,AAPL,csus,2026-01-06,-4004.94,-4004.94,USD,4.95,USD,262.36,15.2462,2026-01-07,CASHUSD,$cash,,,by,csus
BALANCED,MSFT,csus,2026-01-15,4561.65,4561.65,USD,4.95,USD,456.66,10.0,2026-01-15,CASHUSD,$cash,,,sl,csus
BALANCED,AAPL,csus,2026-02-05,-4004.96,-4004.96,USD,4.95,USD,275.91,14.4975,2026-02-06,CASHUSD,$cash,,,by,csus
BALANCED,AAPL,csus,2026-03-05,-4004.96,-4004.96,USD,4.95,USD,260.29,15.3675,2026-03-06,CASHUSD,$cash,,,by,csus
BALANCED,AAPL,csus,2026-04-06,-4004.96,-4004.96,USD,4.95,USD,258.86,15.4524,2026-04-07,CASHUSD,$cash,,,by,csus
BALANCED,JPM,csus,2026-04-06,148.09,148.09,USD,0.0,USD,0.0,0.0,2026-04-30,$cash,$income,,,dv,csus
BALANCED,AAPL,csus,2026-05-06,-4004.96,-4004.96,USD,4.95,USD,287.51,13.9126,2026-05-07,CASHUSD,$cash,,,by,csus
INCOME,AAPL,csus,2025-12-04,-4004.95,-4004.95,USD,4.95,USD,280.7,14.2501,2025-12-05,CASHUSD,$cash,,,by,csus
INCOME,AAPL,csus,2026-01-06,-4004.94,-4004.94,USD,4.95,USD,262.36,15.2462,2026-01-07,CASHUSD,$cash,,,by,csus
INCOME,CASHUSD,caus,2026-01-20,-50.0,-50.0,USD,0.0,USD,0.0,0.0,2026-01-20,$cash,$cash,custfee,exus,dp,caus
INCOME,AAPL,csus,2026-02-05,-4004.96,-4004.96,USD,4.95,USD,275.91,14.4975,2026-02-06,CASHUSD,$cash,,,by,csus
INCOME,AAPL,csus,2026-03-05,-4004.96,-4004.96,USD,4.95,USD,260.29,15.3675,2026-03-06,CASHUSD,$cash,,,by,csus
INCOME,AAPL,csus,2026-04-06,-4004.96,-4004.96,USD,4.95,USD,258.86,15.4524,2026-04-07,CASHUSD,$cash,,,by,csus
INCOME,JPM,csus,2026-04-06,119.88,119.88,USD,0.0,USD,0.0,0.0,2026-04-30,$cash,$income,,,dv,csus
INCOME,AAPL,csus,2026-05-06,-4004.96,-4004.96,USD,4.95,USD,287.51,13.9126,2026-05-07,CASHUSD,$cash,,,by,csus
INCOME,91282Y2Y1,fius,2026-05-15,1200.0,1200.0,USD,0.0,USD,0.0,0.0,2026-05-15,$cash,$income,,,in,fius
INCOME,AAPL,csus,2026-05-23,220.97,220.97,USD,0.0,USD,0.0,0.0,2026-05-23,$cash,$income,,,dv,csus
