PORT,SEC,HOLDING_DATE,CURRENCY,BASE_CURRENCY,QTY,PRICE,MKT_VAL,BASE_MKT_VAL,ACCRUED
ALPHA,AAPL,2025-12-31,USD,USD,1101.6227,161.0,177361.25,177361.25,0.0
ALPHA,AMZN,2025-12-31,USD,USD,870.589,110.0,95764.79,95764.79,0.0
ALPHA,AVGO,2025-12-31,USD,USD,875.2781,101.0,88403.09,88403.09,0.0
ALPHA,CASHUSD,2025-12-31,USD,USD,16000.0,1.0,16000.0,16000.0,0.0
ALPHA,CVNA,2025-12-31,USD,USD,31.3471,58.0,1818.13,1818.13,0.0
ALPHA,GOOG,2025-12-31,USD,USD,676.6527,100.0,67665.27,67665.27,0.0
ALPHA,GOOGL,2025-12-31,USD,USD,834.3139,101.0,84265.7,84265.7,0.0
ALPHA,JPM,2025-12-31,USD,USD,367.49,106.0,38953.94,38953.94,0.0
ALPHA,36225MBS1,2025-12-31,USD,USD,20.5656,97.25,2000.0,2000.0,0.24
ALPHA,META,2025-12-31,USD,USD,343.0928,170.0,58325.78,58325.78,0.0
ALPHA,MSFT,2025-12-31,USD,USD,1287.8002,114.0,146809.23,146809.23,0.0
ALPHA,NVDA,2025-12-31,USD,USD,1166.4699,172.0,200632.82,200632.82,0.0
ALPHA,912797AA1,2025-12-31,USD,USD,100.6543,99.35,10000.0,10000.0,0.0
ALPHA,91282Y2Y1,2025-12-31,USD,USD,59.9101,100.15,6000.0,6000.0,0.39
ALPHA,91282Y5Y1,2025-12-31,USD,USD,60.7287,98.8,6000.0,6000.0,0.57
ALPHA,AAPL,2026-01-30,USD,USD,1083.2492,161.0,174403.13,174403.13,0.0
ALPHA,AMZN,2026-01-30,USD,USD,873.6978,110.0,96106.76,96106.76,0.0
ALPHA,AVGO,2026-01-30,USD,USD,764.5788,101.0,77222.45,77222.45,0.0
ALPHA,CASHUSD,2026-01-30,USD,USD,14500.0,1.0,14500.0,14500.0,0.0
ALPHA,CVNA,2026-01-30,USD,USD,31.5751,58.0,1831.36,1831.36,0.0
ALPHA,GOOG,2026-01-30,USD,USD,669.1179,100.0,66911.79,66911.79,0.0
ALPHA,GOOGL,2026-01-30,USD,USD,826.403,101.0,83466.71,83466.71,0.0
ALPHA,JPM,2026-01-30,USD,USD,379.1167,106.0,40186.37,40186.37,0.0
ALPHA,36225MBS1,2026-01-30,USD,USD,20.5656,97.25,2000.0,2000.0,0.24
ALPHA,META,2026-01-30,USD,USD,355.5453,170.0,60442.7,60442.7,0.0
ALPHA,MSFT,2026-01-30,USD,USD,1282.1233,0.0,146162.06,146162.06,0.0
ALPHA,NVDA,2026-01-30,USD,USD,1239.9225,172.0,213266.67,213266.67,0.0
ALPHA,912797AA1,2026-01-30,USD,USD,100.6543,99.35,10000.0,10000.0,0.0
ALPHA,91282Y2Y1,2026-01-30,USD,USD,59.9101,100.15,6000.0,6000.0,0.39
ALPHA,91282Y5Y1,2026-01-30,USD,USD,60.7287,98.8,6000.0,6000.0,0.62
ALPHA,AAPL,2026-02-27,USD,USD,1036.5765,161.0,166888.82,166888.82,0.0
ALPHA,AMZN,2026-02-27,USD,USD,912.2084,110.0,100342.92,100342.92,0.0
ALPHA,AVGO,2026-02-27,USD,USD,733.765,101.0,74110.27,74110.27,0.0
ALPHA,CASHUSD,2026-02-27,USD,USD,13992.0,1.0,13992.0,13992.0,0.0
ALPHA,CVNA,2026-02-27,USD,USD,31.8848,58.0,1849.32,1849.32,0.0
ALPHA,GOOG,2026-02-27,USD,USD,725.1249,100.0,72512.49,72512.49,0.0
ALPHA,GOOGL,2026-02-27,USD,USD,896.4553,101.0,90541.99,90541.99,0.0
ALPHA,JPM,2026-02-27,USD,USD,361.7675,106.0,38347.36,38347.36,0.0
ALPHA,36225MBS1,2026-02-27,USD,USD,20.5656,97.25,2000.0,2000.0,0.24
ALPHA,META,2026-02-27,USD,USD,387.6797,170.0,65905.55,65905.55,0.0
ALPHA,MSFT,2026-02-27,USD,USD,1143.6707,114.0,130378.46,130378.46,0.0
ALPHA,NVDA,2026-02-27,USD,USD,1273.9699,172.0,219122.83,219122.83,0.0
ALPHA,912797AA1,2026-02-27,USD,USD,100.6543,99.35,10000.0,10000.0,0.0
ALPHA,91282Y2Y1,2026-02-27,USD,USD,59.9101,100.15,6000.0,6000.0,0.39
ALPHA,91282Y5Y1,2026-02-27,USD,USD,60.7287,98.8,6000.0,6000.0,0.57
ALPHA,AAPL,2026-03-31,USD,USD,1124.7411,161.0,181083.31,181083.31,0.0
ALPHA,AMZN,2026-03-31,USD,USD,852.8923,110.0,93818.16,93818.16,0.0
ALPHA,AVGO,2026-03-31,USD,USD,753.5178,101.0,76105.29,76105.29,0.0
ALPHA,CASHUSD,2026-03-31,USD,USD,15803.02,1.0,15803.02,15803.02,0.0
ALPHA,CVNA,2026-03-31,USD,USD,33.1021,58.0,1919.92,1919.92,0.0
ALPHA,GOOG,2026-03-31,USD,USD,712.6301,100.0,71263.01,71263.01,0.0
ALPHA,GOOGL,2026-03-31,USD,USD,883.3349,101.0,89216.82,89216.82,0.0
ALPHA,JPM,2026-03-31,USD,USD,378.3701,106.0,40107.24,40107.24,0.0
ALPHA,36225MBS1,2026-03-31,USD,USD,20.5656,97.25,2000.0,2000.0,0.24
ALPHA,META,2026-03-31,USD,USD,374.6659,170.0,63693.2,63693.2,0.0
ALPHA,MSFT,2026-03-31,USD,USD,1111.3809,114.0,126697.42,126697.42,0.0
ALPHA,NVDA,2026-03-31,USD,USD,1257.4344,172.0,216278.72,216278.72,0.0
ALPHA,912797AA1,2026-03-31,USD,USD,100.6543,99.35,10000.0,10000.0,0.0
ALPHA,91282Y2Y1,2026-03-31,USD,USD,59.9101,100.15,6000.0,6000.0,0.39
ALPHA,91282Y5Y1,2026-03-31,USD,USD,60.7287,98.8,6000.0,6000.0,0.57
ALPHA,AAPL,2026-04-30,USD,USD,1120.311,161.0,180370.08,180370.08,0.0
ALPHA,AMZN,2026-04-30,USD,USD,890.3995,110.0,97943.94,97943.94,0.0
ALPHA,AVGO,2026-04-30,USD,USD,765.4586,101.0,77311.32,77311.32,0.0
ALPHA,CASHUSD,2026-04-30,USD,USD,16537.01,1.0,16537.01,16537.01,0.0
ALPHA,CVNA,2026-04-30,USD,USD,33.6702,58.0,1952.87,1952.87,0.0
ALPHA,GOOG,2026-04-30,USD,USD,692.1873,100.0,69218.73,69218.73,0.0
ALPHA,GOOGL,2026-04-30,USD,USD,854.8705,101.0,86341.92,86341.92,0.0
ALPHA,JPM,2026-04-30,USD,USD,383.5791,106.0,40659.38,40659.38,0.0
ALPHA,36225MBS1,2026-04-30,USD,USD,20.5656,97.25,2000.0,2000.0,0.24
ALPHA,META,2026-04-30,USD,USD,348.2265,170.0,59198.51,59198.51,0.0
ALPHA,MSFT,2026-04-30,USD,USD,1093.2594,114.0,124631.57,124631.57,0.0
ALPHA,NVDA,2026-04-30,USD,USD,1292.8585,172.0,222371.67,222371.67,0.0
ALPHA,912797AA1,2026-04-30,USD,USD,100.6543,99.35,10000.0,10000.0,0.0
ALPHA,91282Y2Y1,2026-04-30,USD,USD,59.9101,100.15,6000.0,6000.0,0.39
ALPHA,91282Y5Y1,2026-04-30,USD,USD,60.7287,98.8,6000.0,6000.0,0.57
ALPHA,AAPL,2026-05-29,USD,USD,1018.4432,162.61,165535.38,165535.38,0.0
ALPHA,AMZN,2026-05-29,USD,USD,967.3602,110.0,106409.62,106409.62,0.0
ALPHA,AVGO,2026-05-29,USD,USD,877.7589,101.0,88653.65,88653.65,0.0
ALPHA,CASHUSD,2026-05-29,USD,USD,17500.0,1.0,17500.0,17500.0,0.0
ALPHA,CVNA,2026-05-29,USD,USD,32.0008,58.0,1856.05,1856.05,0.0
ALPHA,GOOG,2026-05-29,USD,USD,779.201,100.0,77920.1,77920.1,0.0
ALPHA,GOOGL,2026-05-29,USD,USD,967.1745,101.0,97684.62,97684.62,0.0
ALPHA,JPM,2026-05-29,USD,USD,347.9807,106.0,36885.95,36885.95,0.0
ALPHA,36225MBS1,2026-05-29,USD,USD,20.5656,97.25,2000.0,2000.0,0.24
ALPHA,META,2026-05-29,USD,USD,314.8852,170.0,53530.49,53530.49,0.0
ALPHA,MSFT,2026-05-29,USD,USD,1023.9763,114.0,116733.3,116733.3,0.0
ALPHA,NVDA,2026-05-29,USD,USD,1257.8888,172.0,216356.88,216356.88,0.0
ALPHA,912797AA1,2026-05-29,USD,USD,100.6543,99.35,10000.0,10000.0,0.0
ALPHA,91282Y2Y1,2026-05-29,USD,USD,59.9101,100.15,6000.0,6000.0,0.39
ALPHA,91282Y5Y1,2026-05-29,USD,USD,60.7287,98.8,6000.0,6000.0,0.57
BALANCED,AAPL,2025-12-31,USD,USD,963.9199,161.0,155191.1,155191.1,0.0
BALANCED,AMZN,2025-12-31,USD,USD,761.7654,110.0,83794.19,83794.19,0.0
BALANCED,AVGO,2025-12-31,USD,USD,765.8684,101.0,77352.7,77352.7,0.0
BALANCED,CASHUSD,2025-12-31,USD,USD,64000.0,1.0,64000.0,64000.0,0.0
BALANCED,CVNA,2025-12-31,USD,USD,27.4287,58.0,1590.87,1590.87,0.0
BALANCED,GOOG,2025-12-31,USD,USD,592.0711,100.0,59207.11,59207.11,0.0
BALANCED,GOOGL,2025-12-31,USD,USD,730.0246,101.0,73732.49,73732.49,0.0
BALANCED,JPM,2025-12-31,USD,USD,321.5537,106.0,34084.7,34084.7,0.0
BALANCED,36225MBS1,2025-12-31,USD,USD,82.2622,97.25,8000.0,8000.0,0.96
BALANCED,META,2025-12-31,USD,USD,300.2062,170.0,51035.06,51035.06,0.0
BALANCED,MSFT,2025-12-31,USD,USD,1126.8252,114.0,128458.07,128458.07,0.0
BALANCED,NVDA,2025-12-31,USD,USD,1020.6611,172.0,175553.72,175553.72,0.0
BALANCED,912797AA1,2025-12-31,USD,USD,402.617,99.35,40000.0,40000.0,0.0
BALANCED,91282Y2Y1,2025-12-31,USD,USD,239.6405,100.15,24000.0,24000.0,1.56
BALANCED,91282Y5Y1,2025-12-31,USD,USD,242.915,98.8,24000.0,24000.0,2.28
BALANCED,AAPL,2026-01-30,USD,USD,947.8431,161.0,152602.74,152602.74,0.0
BALANCED,AMZN,2026-01-30,USD,USD,764.4856,110.0,84093.42,84093.42,0.0
BALANCED,AVGO,2026-01-30,USD,USD,669.0064,101.0,67569.65,67569.65,0.0
BALANCED,CASHUSD,2026-01-30,USD,USD,64226.0,1.0,64226.0,64226.0,0.0
BALANCED,CVNA,2026-01-30,USD,USD,27.6283,58.0,1602.44,1602.44,0.0
BALANCED,GOOG,2026-01-30,USD,USD,585.4782,100.0,58547.82,58547.82,0.0
BALANCED,GOOGL,2026-01-30,USD,USD,723.1027,101.0,73033.37,73033.37,0.0
BALANCED,JPM,2026-01-30,USD,USD,331.7271,106.0,35163.07,35163.07,0.0
BALANCED,36225MBS1,2026-01-30,USD,USD,82.2622,97.25,8000.0,8000.0,0.96
BALANCED,META,2026-01-30,USD,USD,311.1021,170.0,52887.36,52887.36,0.0
BALANCED,MSFT,2026-01-30,USD,USD,1119.8579,114.0,127663.8,127663.8,0.0
BALANCED,NVDA,2026-01-30,USD,USD,1084.9322,172.0,186608.33,186608.33,0.0
BALANCED,912797AA1,2026-01-30,USD,USD,402.617,99.35,40000.0,40000.0,0.0
BALANCED,91282Y2Y1,2026-01-30,USD,USD,239.6405,100.15,24000.0,24000.0,1.56
BALANCED,91282Y5Y1,2026-01-30,USD,USD,242.915,98.8,24000.0,24000.0,2.28
BALANCED,AAPL,2026-02-27,USD,USD,907.0044,161.0,146027.71,146027.71,0.0
BALANCED,AMZN,2026-02-27,USD,USD,798.1823,110.0,87800.06,87800.06,0.0
BALANCED,AVGO,2026-02-27,USD,USD,642.0444,101.0,64846.48,64846.48,0.0
BALANCED,CASHUSD,2026-02-27,USD,USD,64000.0,1.0,64000.0,64000.0,0.0
BALANCED,CVNA,2026-02-27,USD,USD,27.8992,58.0,1618.16,1618.16,0.0
BALANCED,GOOG,2026-02-27,USD,USD,634.4843,100.0,63448.43,63448.43,0.0
BALANCED,GOOGL,2026-02-27,USD,USD,784.3984,101.0,79224.24,79224.24,0.0
BALANCED,JPM,2026-02-27,USD,USD,316.5466,106.0,33553.94,33553.94,0.0
BALANCED,36225MBS1,2026-02-27,USD,USD,82.2622,97.25,8000.0,8000.0,0.96
BALANCED,META,2026-02-27,USD,USD,339.2197,170.0,57667.36,57667.36,0.0
BALANCED,MSFT,2026-02-27,USD,USD,1000.7119,114.0,114081.15,114081.15,0.0
BALANCED,NVDA,2026-02-27,USD,USD,1114.7237,172.0,191732.47,191732.47,0.0
BALANCED,912797AA1,2026-02-27,USD,USD,402.617,99.35,40000.0,40000.0,0.0
BALANCED,91282Y2Y1,2026-02-27,USD,USD,239.6405,100.15,24000.0,24000.0,1.56
BALANCED,91282Y5Y1,2026-02-27,USD,USD,242.915,98.8,24000.0,24000.0,2.28
BALANCED,AAPL,2026-03-31,USD,USD,983.1534,162.61,159870.57,159870.57,0.0
BALANCED,AMZN,2026-03-31,USD,USD,746.2808,110.0,82090.89,82090.89,0.0
BALANCED,AVGO,2026-03-31,USD,USD,659.328,101.0,66592.13,66592.13,0.0
BALANCED,CASHUSD,2026-03-31,USD,USD,64000.0,1.0,64000.0,64000.0,0.0
BALANCED,CVNA,2026-03-31,USD,USD,28.9643,58.0,1679.93,1679.93,0.0
BALANCED,GOOG,2026-03-31,USD,USD,623.5514,100.0,62355.14,62355.14,0.0
BALANCED,GOOGL,2026-03-31,USD,USD,772.918,101.0,78064.72,78064.72,0.0
BALANCED,JPM,2026-03-31,USD,USD,331.0739,106.0,35093.83,35093.83,0.0
BALANCED,36225MBS1,2026-03-31,USD,USD,82.2622,97.25,8000.0,8000.0,0.96
BALANCED,META,2026-03-31,USD,USD,327.8326,170.0,55731.55,55731.55,0.0
BALANCED,MSFT,2026-03-31,USD,USD,972.4583,114.0,110860.24,110860.24,0.0
BALANCED,NVDA,2026-03-31,USD,USD,1100.2551,172.0,189243.88,189243.88,0.0
BALANCED,912797AA1,2026-03-31,USD,USD,402.617,99.35,40000.0,40000.0,0.0
BALANCED,91282Y2Y1,2026-03-31,USD,USD,239.6405,100.15,24000.0,24000.0,1.56
BALANCED,91282Y5Y1,2026-03-31,USD,USD,242.915,98.8,24000.0,24000.0,2.28
BALANCED,AAPL,2026-04-30,USD,USD,980.2722,161.0,157823.82,157823.82,0.0
BALANCED,AMZN,2026-04-30,USD,USD,779.0995,110.0,85700.95,85700.95,0.0
BALANCED,AVGO,2026-04-30,USD,USD,669.7763,101.0,67647.4,67647.4,0.0
BALANCED,CASHUSD,2026-04-30,USD,USD,64357.07,1.0,64357.07,64357.07,0.0
BALANCED,CVNA,2026-04-30,USD,USD,29.4614,58.0,1708.76,1708.76,0.0
BALANCED,GOOG,2026-04-30,USD,USD,605.6639,100.0,60566.39,60566.39,0.0
BALANCED,GOOGL,2026-04-30,USD,USD,748.0117,101.0,75549.18,75549.18,0.0
BALANCED,JPM,2026-04-30,USD,USD,335.6317,106.0,35576.96,35576.96,0.0
BALANCED,36225MBS1,2026-04-30,USD,USD,82.2622,97.25,8000.0,8000.0,0.96
BALANCED,META,2026-04-30,USD,USD,304.6982,170.0,51798.69,51798.69,0.0
BALANCED,MSFT,2026-04-30,USD,USD,956.602,114.0,109052.63,109052.63,0.0
BALANCED,NVDA,2026-04-30,USD,USD,1131.2512,172.0,194575.21,194575.21,0.0
BALANCED,912797AA1,2026-04-30,USD,USD,402.617,99.35,40000.0,40000.0,0.0
BALANCED,91282Y2Y1,2026-04-30,USD,USD,239.6405,100.15,24000.0,24000.0,1.56
BALANCED,91282Y5Y1,2026-04-30,USD,USD,242.915,98.8,24000.0,24000.0,2.28
BALANCED,AAPL,2026-05-08,USD,USD,1005.1169,161.0,161823.82,161823.82,0.0
BALANCED,AMZN,2026-05-08,USD,USD,779.0995,110.0,85700.95,85700.95,0.0
BALANCED,AVGO,2026-05-08,USD,USD,669.7763,101.0,67647.4,67647.4,0.0
BALANCED,CASHUSD,2026-05-08,USD,USD,60095.05,1.0,60095.05,60095.05,0.0
BALANCED,CVNA,2026-05-08,USD,USD,141.4642,58.0,8204.92,8204.92,0.0
BALANCED,GOOG,2026-05-08,USD,USD,605.6639,100.0,60566.39,60566.39,0.0
BALANCED,GOOGL,2026-05-08,USD,USD,748.0117,101.0,75549.18,75549.18,0.0
BALANCED,JPM,2026-05-08,USD,USD,335.6317,106.0,35576.96,35576.96,0.0
BALANCED,36225MBS1,2026-05-08,USD,USD,82.2622,97.25,8000.0,8000.0,0.96
BALANCED,META,2026-05-08,USD,USD,304.6982,170.0,51798.69,51798.69,0.0
BALANCED,MSFT,2026-05-08,USD,USD,956.602,114.0,109052.63,109052.63,0.0
BALANCED,NVDA,2026-05-08,USD,USD,1131.2512,172.0,194575.21,194575.21,0.0
BALANCED,912797AA1,2026-05-08,USD,USD,402.617,99.35,40000.0,40000.0,0.0
BALANCED,91282Y2Y1,2026-05-08,USD,USD,239.6405,100.15,24000.0,24000.0,1.56
BALANCED,91282Y5Y1,2026-05-08,USD,USD,242.915,98.8,24000.0,24000.0,2.28
BALANCED,AAPL,2026-05-14,USD,USD,1005.1169,161.0,161823.82,161823.82,0.0
BALANCED,AMZN,2026-05-14,USD,USD,779.0995,110.0,85700.95,85700.95,0.0
BALANCED,AVGO,2026-05-14,USD,USD,669.7763,101.0,67647.4,67647.4,0.0
BALANCED,CASHUSD,2026-05-14,USD,USD,60095.05,1.0,60095.05,60095.05,0.0
BALANCED,CVNA,2026-05-14,USD,USD,29.4614,58.0,1708.76,1708.76,0.0
BALANCED,GOOG,2026-05-14,USD,USD,605.6639,100.0,60566.39,60566.39,0.0
BALANCED,GOOGL,2026-05-14,USD,USD,748.0117,101.0,75549.18,75549.18,0.0
BALANCED,JPM,2026-05-14,USD,USD,335.6317,106.0,35576.96,35576.96,0.0
BALANCED,36225MBS1,2026-05-14,USD,USD,82.2622,97.25,8000.0,8000.0,0.96
BALANCED,META,2026-05-14,USD,USD,304.6982,170.0,51798.69,51798.69,0.0
BALANCED,MSFT,2026-05-14,USD,USD,959.3862,114.0,109370.04,109370.04,0.0
BALANCED,NVDA,2026-05-14,USD,USD,1131.2512,172.0,194575.21,194575.21,0.0
BALANCED,912797AA1,2026-05-14,USD,USD,402.617,99.35,40000.0,40000.0,0.0
BALANCED,91282Y2Y1,2026-05-14,USD,USD,239.6405,100.15,24000.0,24000.0,1.56
BALANCED,91282Y5Y1,2026-05-14,USD,USD,242.915,98.8,24000.0,24000.0,2.28
BALANCED,AAPL,2026-05-29,USD,USD,1005.1169,161.0,161823.82,161823.82,0.0
BALANCED,AMZN,2026-05-29,USD,USD,779.0995,110.0,85700.95,85700.95,0.0
BALANCED,AVGO,2026-05-29,USD,USD,669.7763,101.0,67647.4,67647.4,0.0
BALANCED,CASHUSD,2026-05-29,USD,USD,59417.55,1.0,59417.55,59417.55,0.0
BALANCED,CVNA,2026-05-29,USD,USD,29.4614,58.0,1708.76,1708.76,0.0
BALANCED,GOOG,2026-05-29,USD,USD,605.6639,100.0,60566.39,60566.39,0.0
BALANCED,GOOGL,2026-05-29,USD,USD,748.0117,101.0,75549.18,75549.18,0.0
BALANCED,JPM,2026-05-29,USD,USD,335.6317,106.0,35576.96,35576.96,0.0
BALANCED,36225MBS1,2026-05-29,USD,USD,82.2622,97.25,8000.0,8000.0,0.96
BALANCED,META,2026-05-29,USD,USD,304.6982,170.0,51798.69,51798.69,0.0
BALANCED,MSFT,2026-05-29,USD,USD,956.602,114.0,109052.63,109052.63,0.0
BALANCED,NVDA,2026-05-29,USD,USD,1131.2512,172.0,194575.21,194575.21,0.0
BALANCED,912797AA1,2026-05-29,USD,USD,402.617,99.35,40000.0,40000.0,0.0
BALANCED,91282Y2Y1,2026-05-29,USD,USD,239.6405,100.15,24000.0,24000.0,1.56
BALANCED,91282Y5Y1,2026-05-29,USD,USD,242.915,98.8,24000.0,24000.0,2.28
INCOME,AAPL,2025-12-31,USD,USD,780.3161,161.0,125630.89,125630.89,0.0
INCOME,AMZN,2025-12-31,USD,USD,616.6672,110.0,67833.39,67833.39,0.0
INCOME,AVGO,2025-12-31,USD,USD,619.9887,101.0,62618.86,62618.86,0.0
INCOME,CASHUSD,2025-12-31,USD,USD,128000.0,1.0,128000.0,128000.0,0.0
INCOME,CVNA,2025-12-31,USD,USD,22.2042,58.0,1287.84,1287.84,0.0
INCOME,GOOG,2025-12-31,USD,USD,479.2957,100.0,47929.57,47929.57,0.0
INCOME,GOOGL,2025-12-31,USD,USD,590.9723,101.0,59688.2,59688.2,0.0
INCOME,JPM,2025-12-31,USD,USD,260.3054,106.0,27592.37,27592.37,0.0
INCOME,36225MBS1,2025-12-31,USD,USD,164.5244,97.25,16000.0,16000.0,1.92
INCOME,META,2025-12-31,USD,USD,243.0241,170.0,41314.09,41314.09,0.0
INCOME,MSFT,2025-12-31,USD,USD,912.1918,114.0,103989.87,103989.87,0.0
INCOME,NVDA,2025-12-31,USD,USD,826.2495,172.0,142114.91,142114.91,0.0
INCOME,912797AA1,2025-12-31,USD,USD,805.234,99.35,80000.0,80000.0,0.0
INCOME,91282Y2Y1,2025-12-31,USD,USD,479.2811,100.15,48000.0,48000.0,3.12
INCOME,91282Y5Y1,2025-12-31,USD,USD,485.83,98.8,48000.0,48000.0,4.56
INCOME,AAPL,2026-01-30,USD,USD,767.3015,161.0,123535.55,123535.55,0.0
INCOME,AMZN,2026-01-30,USD,USD,618.8693,110.0,68075.62,68075.62,0.0
INCOME,AVGO,2026-01-30,USD,USD,541.5766,101.0,54699.24,54699.24,0.0
INCOME,CASHUSD,2026-01-30,USD,USD,127950.0,1.0,127950.0,127950.0,0.0
