SECURITY_ID,SECURITY_TYPE,ASSET_CLASS_CODE,ASSET_CLASS_NAME,SECTOR_CODE,COUNTRY_CODE,CURRENCY_CODE
36225MBS1,fius,FI,Fixed Income,FI,US,USD
912797AA1,fius,FI,Fixed Income,FI,US,USD
91282Y2Y1,fius,FI,Fixed Income,FI,US,USD
91282Y5Y1,fius,FI,Fixed Income,FI,US,USD
AAPL,csus,EQ,Equity,IT,US,USD
AMZN,csus,EQ,Equity,CD,US,USD
AVGO,csus,EQ,Equity,IT,US,USD
CASHEUR,caus,CASH,Cash,CA,DE,EUR
CASHGBP,caus,CASH,Cash,CA,GB,GBP
CASHUSD,caus,CASH,Cash,CA,US,USD
CVNA,csus,EQ,Equity,CD,US,USD
GOOG,csus,EQ,Equity,CO,US,USD
GOOGL,csus,EQ,Equity,CO,US,USD
JPM,csus,EQ,Equity,FI,US,USD
KO,csus,EQ,Equity,CS,US,USD
META,csus,EQ,Equity,CO,US,USD
MSFT,csus,EQ,Equity,IT,US,USD
NVDA,csus,EQ,Equity,IT,US,USD
SAP.DE,cseu,EQ,Equity,IT,DE,EUR
SHEL.L,csgb,EQ,Equity,EN,GB,GBP
TSLA,csus,EQ,Equity,CD,US,USD
MARGIN_USD,margin,CA,Cash and Financing,CA,US,USD
