Portfolio Code,Security Symbol,Security Type,Transaction Date,Amount,Base Amount,Base Currency,Commission,Currency Code,Price,Quantity,Settlement Date,Source/Destination Symbol,Source/Destination Type,Special Security Symbol,Special Security Type,Transaction Code,Transaction Security Type
ALPHA,AAPL,csus,2025-12-04,-4004.95,-4004.95,USD,4.95,USD,280.7,14.2501,2025-12-05,CASHUSD,$cash,,,by,csus
ALPHA,AMZN,csus,2025-12-04,100.0,100.0,USD,0.0,USD,0.0,0.0,2025-12-05,$cash,$income,,,dv,csus
ALPHA,AAPL,csus,2026-01-06,-4004.94,-4004.94,USD,4.95,USD,262.36,15.2462,2026-01-07,CASHUSD,$cash,,,by,csus
ALPHA,AMZN,csus,2026-01-06,100.0,100.0,USD,0.0,USD,0.0,0.0,2026-01-07,$cash,$income,,,dv,csus
ALPHA,CASHUSD,caus,2026-01-20,-2000.0,-2000.0,USD,0.0,USD,0.0,0.0,2026-01-20,$cash,$pty,,,wd,caus
ALPHA,AAPL,csus,2026-02-05,-4004.96,-4004.96,USD,4.95,USD,275.91,14.4975,2026-02-06,CASHUSD,$cash,,,by,csus
ALPHA,AMZN,csus,2026-02-05,100.0,100.0,USD,0.0,USD,0.0,0.0,2026-02-06,$cash,$income,,,dv,csus
ALPHA,AAPL,csus,2026-03-05,-4313.43,-4313.43,USD,14.95,USD,260.44,16.5047,2026-03-06,CASHUSD,$cash,,,by,csus
ALPHA,AMZN,csus,2026-03-05,100.0,100.0,USD,0.0,USD,0.0,0.0,2026-03-06,$cash,$income,,,dv,csus
ALPHA,AAPL,csus,2026-04-06,-4004.96,-4004.96,USD,4.95,USD,258.86,15.4524,2026-04-07,CASHUSD,$cash,,,by,csus
ALPHA,AMZN,csus,2026-04-06,100.0,100.0,USD,0.0,USD,0.0,0.0,2026-04-07,$cash,$income,,,dv,csus
ALPHA,AAPL,csus,2026-05-06,-4004.96,-4004.96,USD,4.95,USD,287.51,13.9126,2026-05-07,CASHUSD,$cash,,,by,csus
ALPHA,AMZN,csus,2026-05-06,100.0,100.0,USD,0.0,USD,0.0,0.0,2026-05-07,$cash,$income,,,dv,csus
BALANCED,AAPL,csus,2025-12-04,-4004.95,-4004.95,USD,4.95,USD,280.7,14.2501,2025-12-05,CASHUSD,$cash,,,by,csus
BALANCED,AMZN,csus,2025-12-04,100.0,100.0,USD,0.0,USD,0.0,0.0,2025-12-05,$cash,$income,,,dv,csus
BALANCED,AAPL,csus,2026-01-06,-4004.94,-4004.94,USD,4.95,USD,262.36,15.2462,2026-01-07,CASHUSD,$cash,,,by,csus
BALANCED,AMZN,csus,2026-01-06,100.0,100.0,USD,0.0,USD,0.0,0.0,2026-01-07,$cash,$income,,,dv,csus
BALANCED,MSFT,csus,2026-01-15,5472.97,5472.97,USD,9.95,USD,456.91,12.0,2026-01-15,CASHUSD,$cash,,,sl,csus
BALANCED,AAPL,csus,2026-02-05,-4004.96,-4004.96,USD,4.95,USD,275.91,14.4975,2026-02-06,CASHUSD,$cash,,,by,csus
BALANCED,AMZN,csus,2026-02-05,100.0,100.0,USD,0.0,USD,0.0,0.0,2026-02-06,$cash,$income,,,dv,csus
BALANCED,AAPL,csus,2026-03-05,-4004.96,-4004.96,USD,4.95,USD,260.29,15.3675,2026-03-06,CASHUSD,$cash,,,by,csus
BALANCED,AMZN,csus,2026-03-05,100.0,100.0,USD,0.0,USD,0.0,0.0,2026-03-06,$cash,$income,,,dv,csus
BALANCED,AAPL,csus,2026-04-06,-4004.96,-4004.96,USD,4.95,USD,258.86,15.4524,2026-04-07,CASHUSD,$cash,,,by,csus
