SECURITY_ID,SECURITY_NAME,ASSET_CLASS_CODE,ASSET_CLASS_DESC,SECTOR_CODE,SECTOR_DESC,COUNTRY_CODE,COUNTRY_DESC,CURRENCY_CODE,CURRENCY_DESC
AAPL,Apple Inc,EQ,Equity,IT,Information Technology,US,United States,USD,US Dollar
ABBV,Abbvie Inc,EQ,Equity,HC,Health Care,US,United States,USD,US Dollar
ABT,Abbott Laboratories,EQ,Equity,HC,Health Care,US,United States,USD,US Dollar
ACN,Accenture Plc Class A,EQ,Equity,IT,Information Technology,US,United States,USD,US Dollar
ADBE,Adobe Inc,EQ,Equity,IT,Information Technology,US,United States,USD,US Dollar
AIG,American International Group Inc,EQ,Equity,FI,Financials,US,United States,USD,US Dollar
AMAT,Applied Material Inc,EQ,Equity,IT,Information Technology,US,United States,USD,US Dollar
AMD,Advanced Micro Devices Inc,EQ,Equity,IT,Information Technology,US,United States,USD,US Dollar
AMGN,Amgen Inc,EQ,Equity,HC,Health Care,US,United States,USD,US Dollar
AMT,American Tower Reit Corp,EQ,Equity,RE,Real Estate,US,United States,USD,US Dollar
AMZN,Amazon.Com Inc,EQ,Equity,CD,Consumer Discretionary,US,United States,USD,US Dollar
AVGO,Broadcom Inc,EQ,Equity,IT,Information Technology,US,United States,USD,US Dollar
AXP,American Express,EQ,Equity,FI,Financials,US,United States,USD,US Dollar
BA,Boeing,EQ,Equity,IN,Industrials,US,United States,USD,US Dollar
BAC,Bank Of America Corp,EQ,Equity,FI,Financials,US,United States,USD,US Dollar
BIIB,Biogen Inc,EQ,Equity,HC,Health Care,US,United States,USD,US Dollar
BK,Bank Of New York Mellon Corp,EQ,Equity,FI,Financials,US,United States,USD,US Dollar
BKNG,Booking Holdings Inc,EQ,Equity,CD,Consumer Discretionary,US,United States,USD,US Dollar
BLK,Blackrock Inc,EQ,Equity,FI,Financials,US,United States,USD,US Dollar
BMY,Bristol Myers Squibb,EQ,Equity,HC,Health Care,US,United States,USD,US Dollar
BRKB,Berkshire Hathaway Inc Class B,EQ,Equity,FI,Financials,US,United States,USD,US Dollar
C,Citigroup Inc,EQ,Equity,FI,Financials,US,United States,USD,US Dollar
CASH_USD,US Dollar Cash,CASH,Cash,CA,Cash,US,United States,USD,US Dollar
CAT,Caterpillar Inc,EQ,Equity,IN,Industrials,US,United States,USD,US Dollar
CHTR,Charter Communications Inc Class A,EQ,Equity,CO,Communication Services,US,United States,USD,US Dollar
CL,Colgate-Palmolive,EQ,Equity,CS,Consumer Staples,US,United States,USD,US Dollar
CMCSA,Comcast Corp Class A,EQ,Equity,CO,Communication Services,US,United States,USD,US Dollar
COF,Capital One Financial Corp,EQ,Equity,FI,Financials,US,United States,USD,US Dollar
COP,Conocophillips,EQ,Equity,EN,Energy,US,United States,USD,US Dollar
COST,Costco Wholesale Corp,EQ,Equity,CS,Consumer Staples,US,United States,USD,US Dollar
CRM,Salesforce Inc,EQ,Equity,IT,Information Technology,US,United States,USD,US Dollar
CSCO,Cisco Systems Inc,EQ,Equity,IT,Information Technology,US,United States,USD,US Dollar
CVS,Cvs Health Corp,EQ,Equity,HC,Health Care,US,United States,USD,US Dollar
CVX,Chevron Corp,EQ,Equity,EN,Energy,US,United States,USD,US Dollar
