END_MV,FLOW,INCOME,GAIN_LOSS,PORTFOLIO_CODE,PORTFOLIO_NAME,FROM_DATE,THRU_DATE,BEGIN_MV,PORT_RETURN
1000001.2,0.0,100.0,-98.8,ALPHA,Mega-Cap Alpha,2025-11-29,2025-12-31,1000000.0,1.2e-06
1000001.2,-500.0,100.0,400.0,ALPHA,Mega-Cap Alpha,2026-01-01,2026-01-30,1000001.2,0.0005000911
1000001.21,0.0,100.0,-99.99,ALPHA,Mega-Cap Alpha,2026-01-31,2026-02-27,1000001.2,1e-08
1000001.2,0.0,100.0,-100.01,ALPHA,Mega-Cap Alpha,2026-02-28,2026-03-31,1000001.21,-1e-08
1000001.19,0.0,100.0,-100.01,ALPHA,Mega-Cap Alpha,2026-04-01,2026-04-30,1000001.2,-1e-08
1000001.21,0.0,100.0,-99.98,ALPHA,Mega-Cap Alpha,2026-05-01,2026-05-29,1000001.19,2e-08
1000004.81,0.0,100.0,-95.19,BALANCED,Mega-Cap Balanced,2025-11-29,2025-12-31,1000000.0,4.81e-06
1000004.8,0.0,100.0,-100.01,BALANCED,Mega-Cap Balanced,2026-01-01,2026-01-30,1000004.81,-1e-08
1000004.8,0.0,100.0,-100.0,BALANCED,Mega-Cap Balanced,2026-01-31,2026-02-27,1000004.8,0.0
1000004.8,0.0,100.0,-100.0,BALANCED,Mega-Cap Balanced,2026-02-28,2026-03-31,1000004.8,0.0
1000004.79,0.0,469.88,-469.89,BALANCED,Mega-Cap Balanced,2026-04-01,2026-04-30,1000004.8,-1e-08
1000004.81,0.0,100.0,-99.98,BALANCED,Mega-Cap Balanced,2026-05-01,2026-05-29,1000004.79,2e-08
1000009.59,0.0,100.0,-90.41,INCOME,Mega-Cap Income,2025-11-29,2025-12-31,1000000.0,9.59e-06
1000009.6,0.0,50.0,-49.99,INCOME,Mega-Cap Income,2026-01-01,2026-01-30,1000009.59,1e-08
1000104.64,0.0,100.0,-4.96,INCOME,Mega-Cap Income,2026-01-31,2026-02-13,1000009.6,9.50391e-05
1000009.6,0.0,0.0,-95.04,INCOME,Mega-Cap Income,2026-02-14,2026-02-27,1000104.64,-9.50301e-05
1000009.6,0.0,100.0,-100.0,INCOME,Mega-Cap Income,2026-02-28,2026-03-31,1000009.6,-0.0
1000009.6,0.0,100.0,-100.0,INCOME,Mega-Cap Income,2026-04-01,2026-04-30,1000009.6,0.0
984487.47,0.0,100.0,-15622.13,INCOME,Mega-Cap Income,2026-05-01,2026-05-08,1000009.6,-0.015521981
985687.47,0.0,1200.0,0.0,INCOME,Mega-Cap Income,2026-05-09,2026-05-15,984487.47,0.0012189084
985687.47,0.0,0.0,0.0,INCOME,Mega-Cap Income,2026-05-16,2026-05-22,985687.47,0.0
985687.47,0.0,0.0,0.0,INCOME,Mega-Cap Income,2026-05-23,2026-05-29,985687.47,0.0
