PORT,TRANSACTION_DATE,SETTLE_DATE,SEC,TRAN,SEC_TYPE,SRC_DEST_TYPE,SRC_DEST_SYMBOL,SPECIAL_SEC_TYPE,SPECIAL_SEC_SYMBOL,QTY,PRICE,AMOUNT,COMMISSION
ALPHA,2025-12-04,2025-12-05,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
ALPHA,2025-12-04,2025-12-05,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
ALPHA,2026-01-06,2026-01-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
ALPHA,2026-01-06,2026-01-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
ALPHA,2026-01-20,2026-01-20,CASH_USD,wd,caus,$pty,$cash,,,0.0,0.0,-2000.0,0.0
ALPHA,2026-02-05,2026-02-06,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
ALPHA,2026-02-05,2026-02-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
ALPHA,2026-03-05,2026-03-06,AAPL,by,csus,$cash,CASH_USD,,,25.9819,161.15,-4201.93,14.95
ALPHA,2026-03-05,2026-03-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
ALPHA,2026-04-06,2026-04-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
ALPHA,2026-04-06,2026-04-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
ALPHA,2026-05-06,2026-05-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
ALPHA,2026-05-06,2026-05-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
BALANCED,2025-12-04,2025-12-05,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED,2025-12-04,2025-12-05,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
BALANCED,2026-01-06,2026-01-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED,2026-01-06,2026-01-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
BALANCED,2026-01-15,2026-01-15,MSFT,sl,csus,$cash,CASH_USD,,,12.0,114.25,1361.05,9.95
BALANCED,2026-02-05,2026-02-06,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED,2026-02-05,2026-02-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
BALANCED,2026-03-05,2026-03-06,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED,2026-03-05,2026-03-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
BALANCED,2026-04-06,2026-04-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED,2026-04-06,2026-04-30,JPM,dv,csus,$income,$cash,,,0.0,0.0,586.95,0.0
BALANCED,2026-05-06,2026-05-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
BALANCED,2026-05-06,2026-05-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME,2025-12-04,2025-12-05,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME,2025-12-04,2025-12-05,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME,2026-01-06,2026-01-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME,2026-01-06,2026-01-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME,2026-01-20,2026-01-20,CASH_USD,dp,caus,$cash,$cash,exus,custfee,0.0,0.0,-100.0,0.0
INCOME,2026-02-05,2026-02-06,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME,2026-02-05,2026-02-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME,2026-03-05,2026-03-06,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME,2026-03-05,2026-03-06,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME,2026-04-06,2026-04-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME,2026-04-06,2026-04-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME,2026-05-06,2026-05-07,AAPL,by,csus,$cash,CASH_USD,,,24.8447,161.0,-4004.95,4.95
INCOME,2026-05-06,2026-05-07,AMZN,dv,csus,$income,$cash,,,0.0,0.0,100.0,0.0
INCOME,2026-05-15,2026-05-15,TNOTE2Y,in,fius,$income,$cash,,,0.0,0.0,1280.0,0.0
BALANCED,2026-03-20,2026-03-20,CASH_USD,li,caus,$pty,$cash,,,0.0,0.0,2500.0,0.0
ALPHA,2026-02-17,2026-02-17,CASH_USD,lo,caus,$pty,$cash,,,0.0,0.0,-2000.0,0.0
BALANCED,2026-04-18,2026-04-18,JPM,rc,csus,$pty,$cash,return_of_capital,JPM,0.0,0.0,240.0,0.0
INCOME,2026-05-18,2026-05-18,MBSPOOL,pd,mbus,$pty,$cash,principal_paydown,MBSPOOL,0.0,0.0,320.0,0.0
INCOME,2026-02-10,2026-02-10,TNOTE5Y,by,fius,$cash,CASH_USD,,,5.0,98.8,-494.0,0.0
INCOME,2026-02-10,2026-02-10,TNOTE5Y,pa,fius,$income,$cash,,,0.0,0.0,-42.5,0.0
INCOME,2026-02-20,2026-02-20,TNOTE5Y,sl,fius,$cash,CASH_USD,,,3.0,98.8,296.4,0.0
INCOME,2026-02-20,2026-02-20,TNOTE5Y,sa,fius,$income,$cash,,,0.0,0.0,37.25,0.0
